fnid,country,country_code,admin_1,admin_2,product,season_name,planting_year,planting_month,harvest_year,harvest_month,crop_production_system,qc_flag,area,production,yield
KE2013A101,Kenya,KE,Mombasa,none,Banana,Annual,2013,1,2012,12,All (PS),0,125.1,1110,8.872901679
KE2013A101,Kenya,KE,Mombasa,none,Banana,Annual,2014,1,2013,12,All (PS),0,121.5,952,7.835390947
KE2013A101,Kenya,KE,Mombasa,none,Banana,Annual,2023,1,2022,12,All (PS),0,39,600,15.38461538
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,1986,1,1985,12,All (PS),0,3,2,0.666666667
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,1987,1,1986,12,All (PS),0,7,6,0.857142857
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,1998,1,1997,12,All (PS),0,1,0.35,0.35
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,1999,1,1998,12,All (PS),0,1,0.7,0.7
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,2000,1,1999,12,All (PS),0,1,0.56,0.56
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,2004,1,2003,12,All (PS),0,2.5,0.6,0.24
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,2005,1,2004,12,All (PS),0,11,9,0.818181818
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,2006,1,2005,12,All (PS),0,10,9,0.9
KE2013A101,Kenya,KE,Mombasa,none,Beans (mixed),Annual,2013,1,2012,12,All (PS),0,22,1,0.045454545
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2013,1,2012,12,All (PS),0,279,2434,8.724014337
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2014,1,2013,12,All (PS),0,226,1360,6.017699115
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2015,1,2014,12,All (PS),0,263,2164,8.228136882
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2016,1,2015,12,All (PS),0,263,2104,8
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2017,1,2016,12,All (PS),0,107,995,9.299065421
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2018,1,2017,12,All (PS),0,78,1560,20
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2019,1,2018,12,All (PS),0,85,1700,20
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2020,1,2019,12,All (PS),0,83,1660,20
KE2013A101,Kenya,KE,Mombasa,none,Cassava,Annual,2021,1,2020,12,All (PS),0,91,2754,30.26373626
KE2013A101,Kenya,KE,Mombasa,none,Coriander,Annual,2017,1,2016,12,All (PS),0,4,40,10
KE2013A101,Kenya,KE,Mombasa,none,Coriander,Annual,2018,1,2017,12,All (PS),0,5,29,5.8
KE2013A101,Kenya,KE,Mombasa,none,Coriander,Annual,2019,1,2018,12,All (PS),0,5,46,9.2
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2013,1,2012,12,All (PS),0,354,34.56,0.097627119
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2014,1,2013,12,All (PS),0,297,75.96,0.255757576
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2015,1,2014,12,All (PS),0,279,1325,4.749103943
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2016,1,2015,12,All (PS),0,241,1715,7.116182573
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2017,1,2016,12,All (PS),0,110.5,90.3,0.81719457
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2018,1,2017,12,All (PS),0,175,1684.56,9.626057143
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2019,1,2018,12,All (PS),0,122,334.28,2.74
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2020,1,2019,12,All (PS),0,154,138.6,0.9
KE2013A101,Kenya,KE,Mombasa,none,Cowpea,Annual,2021,1,2020,12,All (PS),0,148,32.04,0.216486486
KE2013A101,Kenya,KE,Mombasa,none,Kale,Annual,2023,1,2022,12,All (PS),0,21,336,16
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1977,1,1976,12,All (PS),0,900,,
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1978,1,1977,12,All (PS),0,623,,
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1979,1,1978,12,All (PS),0,496,,
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1980,1,1979,12,All (PS),0,540,,
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1981,1,1980,12,All (PS),0,1025,1253.3,1.222731707
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1982,1,1981,12,All (PS),0,1008,806,0.799603175
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1983,1,1982,12,All (PS),0,1644.425697,953,0.579533634
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1984,1,1983,12,All (PS),0,2682.674477,806,0.300446441
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1985,1,1984,12,All (PS),0,799,979,1.225281602
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1986,1,1985,12,All (PS),0,700,840,1.2
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1987,1,1986,12,All (PS),0,400,639,1.5975
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1988,1,1987,12,All (PS),0,670,489,0.729850746
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1989,1,1988,12,All (PS),0,661,841,1.272314675
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1990,1,1989,12,All (PS),0,700,749,1.07
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1991,1,1990,12,All (PS),0,759,953,1.255599473
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1992,1,1991,12,All (PS),0,443,421,0.9503386
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1993,1,1992,12,All (PS),0,400,639,1.5975
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1994,1,1993,12,All (PS),0,670,489,0.729850746
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1995,1,1994,12,All (PS),0,412,232,0.563106796
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1996,1,1995,12,All (PS),0,731,441,0.603283174
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1997,1,1996,12,All (PS),0,459,545.9945995,1.189530718
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1998,1,1997,12,All (PS),0,188,308.3708371,1.64027041
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,1999,1,1998,12,All (PS),0,170,168.6138614,0.991846243
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2000,1,1999,12,All (PS),0,592,586.7686769,0.991163306
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2001,1,2000,12,All (PS),0,729,721.7821782,0.99009901
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2002,1,2001,12,All (PS),0,516,418.0018002,0.810081008
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2003,1,2002,12,All (PS),0,690,446.039604,0.646434209
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2004,1,2003,12,All (PS),0,171,168.4968497,0.985361694
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2005,1,2004,12,All (PS),0,759,429.7029703,0.566143571
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2006,1,2005,12,All (PS),0,861,412.3312331,0.478898064
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2013,1,2012,12,All (PS),0,1001,405.81,0.405404595
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2014,1,2013,12,All (PS),0,653,337.59,0.516983155
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2015,1,2014,12,All (PS),0,672,522,0.776785714
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2016,1,2015,12,All (PS),0,860,86,0.1
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2017,1,2016,12,All (PS),0,798,770.12,0.965062657
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2018,1,2017,12,All (PS),0,439,308.92,0.703690205
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2019,1,2018,12,All (PS),0,481,259.22,0.538918919
KE2013A101,Kenya,KE,Mombasa,none,Maize,Annual,2020,1,2019,12,All (PS),0,606,802.98,1.325049505
